razon_social,nombre_corto
"P.M.I. de Norteamérica, S.A. de C.V. y P.M.I. TRADING LIMITED",PMI
CONSTRUCTORA SUBACUATICA DIAVAZ S.A. DE C.V.,DIAVAZ
MICOPERI PEMEX,PEMEX
TROOP Y COMPANIA SA DE CV,TROOP
ARTICULOS ELECTRICOS E INDUSTRIALES DEL CARMEN SA DE CV,AEI
"NORCONTROL INSPECCION, S.A. DE C.V.",NORCONTROL
COMPANIA DE MULTISERVICIOS PARA MANTENIMIENTO,CMMI
"TECNO FIRE, S.A. DE C.V.",TECNO FIRE
BME SUBTEC SA DE CV,SUBTEC
"COIMSUR, S.A. DE C.V.",COIMSUR
"TYPHOON OFFSHORE, S.A.P.I. DE C.V.",TYPHOON OFFSHORE
COTEMAR S.A. DE C.V.,COTEMAR
RTH TECHNOLOGY,RTH TECHNOLOGY
"PROMOTORA PETROLERA REGIOMONTANA, S.A. DE C.V.",PROPETROL
GRUPO INDUSTRIAL ELECTROMECANICO DE MEXICO SA DE CV,GINEMEX
COPAS CONSTRUCCIONES Y LOGISTICA SA DE CV CON SCIVITA,COPAS
"Comercial Verite, S.A. de C.V.",VERITE
AEE MARINE SERVICES SA DE CV,AEE MARINE
PEMEX,PEMEX
"CORPORACION ITAIPU, S.A DE C.V.",ITAIPU
"MULTISERVICIOS PETROLEROS, S.A. DE",MSP
MICOPERI SRL,MICOPERI
"DUNCAN Y COSSIO, S. A.",DUNCAN
VIKING LIFE SAVING EQUIPMENT SA DE CV,VIKING
